index,sentence
865,Honako elikagai hauetan aurkitzen da ugarien.
866,Ezker erdilari postuan jokatzen zuen.
867,"Adibidez, pentsa dezagun komunitate batean gaixotasun bat hedatzen ari dela."
868,Euskal Herriko futbol selekzioarekin partida bi jokatu zituen.
869,"Batak, hanka ukitu eta esan zuen."
870,Jendearen gehiengoa eremu honetan bizi da.
871,Beste iturri Antzinako Greziako estiloak izan ziren.
872,Hamalau urtez izan zen independente Korsika.
873,Amamari deituko diozu gaur gauean.
874,Beste herrialdeetako esperientzien bermea du.
875,Bere loreak udaberrian eta fruituak udazkenean agertzen dira.
876,"Hortik aurrera, erlojuaren kontrako probetan nabarmendu zen."
877,"Hurrengo urtean berrogei, eta hurrengo urtean hogei aktore."
878,Bere barietate etxekotua azenarioa da.
879,Horrek Paraguaiko eraikinik garaiena bihurtzen du.
880,Ziurrenik ezagutuko duzue baina badaezpada zuekin partekatzea bururatu zait.
881,Nafarroako irristaketa federazioak sei irristaketa mota ditu.
882,"Heste-mugimenduak erregulatzeaz gain, hainbat gaixotasun izateko arriskua gutxitzen du."
883,Harrezkero hainbat saioetan aritu da.
884,Handik Agatoklesen kontrako erasoak antolatzen zituen.
885,"Ardi latxa, piriniotar behi eta Aurizko zaldi ugari dago."
886,Herriko tabernetako kontuak blokeatu zituzten eta jabegoak bahitu.
887,Bakterioak eta bestelako partikula organikoak ere jaten dituzte.
888,Mekako eskualdearen hiriburu administratiboa da.
889,Bengalako tigrea bizi da bertan.
890,Naziek mundua menderatzea nahi zuten baina ezin izan zuten.
891,Hegazti askorentzat elikagai garrantzitsuak dira.
892,"Generoari dagokionez, emakumezkoak dira erabiltzaile gehienak."
893,Gelaren osagaiak ura eta gatz ionikoak dira.
894,Euren lorpenik handiena Lepantoko guduan garaipena lortzea izan zen.
895,"Gizarte osoa zelatapean jartzea?, galdetzen du kazetari beteranoak."
896,Gaur egun ikusgai dauden egitura aipagarriak honako hauek dira.
897,Gaur egun monasterioaren alde batzuk berreskuratzen ari dira.
898,Itxialdia ez zuten egunetik biharamunera pentsatu.
899,Isturitzetik Etiopian barrena errezitaldiaren kronika.
900,"Dena dela, marrazkia zehaztasun guztiez egina dago."
901,Polemikak denbora luzea iraun zuen.
902,Gutxiengo nabarmena dira Turkian eta Libanoko iparraldean ere.
903,"Bizkaitar artista honentzat, mitologia belaunaldiz belaunaldi transmititu den ondarea da."
904,Berauek historia eta kronologia desberdina dute.
905,Afrika eta Latinoamerika herrialdeak ditu bere lana burutzeko esparru nagusiak.
906,"Albiste-kazetari orokorrak, ordea, arrisku batzuk hartzen dituzte."
907,"Bere baitan jokalekua bera, etxebizitzak eta saltokiak hartzen ditu."
908,Errealismo magikoaren adibidea da estiloaren aldetik.
909,"Zelula zilindriko eta bizidunak, bertikalki pareta bidez bereiziak dira."
910,"Hala ere, azkenean helburu hori ez zuen lortu."
911,Elkarte honek munduko lehen aldizkari homosexual erregularra kaleratu zuen.
912,Gerra ondoko berrikuntza giroan hazi zen.
913,"Arrisku galanta izan zen hura, eremu hori oso korapilatsua baitzen."
914,"Eta, hala ere, sortu beharra dago."
915,Bularreko minbiziaren arriskua ere jaisten du.
916,Familia honek tamaina handiko zuhaitzak hartzen ditu.
917,Testuak editatuko ditut termino arraroak ordezkatzeko.
918,"Gaur egun, beldurrezko zinemazaleen artean kultuzko filmaren estatusa bereganatu du."
919,"Bide honen amaieran, beste bidegurutze bat dago."
920,Teoria honen oinarria egitura elektronikoan dago.
921,Ez esan gezurrik bestela damutuko zarete.
922,Brasilgo kolpe ezti batek uhinak zabalduko ditu munduan.
923,Horren ondorioz ukipen-bitarrek itxura arraroak izaten dituzte.
924,Orain gerrako krimen bezala hartuko dira kontuan.
925,"Hala ere, sistema politikoarekiko gizarte-talde zabalen deserosotasuna handitu zen."
926,Jaurtitzailerik onena ere ezin da haraino heldu.
927,Laster ospetsu bilakatu zen mundu osoan zehar.
928,Probatu duenak badaki zein ona den.
929,Euskal Herrian gertatutako azken aurreko atentatu hilgarria izan zen.
930,Harena estatu batean bihurtu zen beste estatu baten barruan.
931,Lehenengo Gerra Punikoan askotan aipatzen da hiria.
932,"Segoviako probintzian kokaturik dago, Segovia hiritik kilometro gutxira."
933,"Lehen bezeroa izanik, ondo moldatzen dira eta lagun bihurtzen dira."
934,Bi mila eta hamalauan hainbat ekintzailek tranbia geratu zuten.
935,Berehala beste guztiak irten ziren.
936,"Zer ote da, beraz, posible ez dena, eta zergatik?"
937,"Egun honetan, zaldien lasterketak antzerki bihurtzen dira."
938,Talde hura Fronte Zabalaren barnean sartu zen.
939,"Zehar txirula handiaren kasua, berezia da."
940,Normalean eguneko lanari ekin baino lehen hartzen da.
941,"Alboan, burdin-hesiz babestutako lorategia du, bertan zenbait hilarri daude."
942,"Gainera, dentsitatea urarena baino txikiagoa dute."
943,"Erregeak Henrike matxinatu ez zezan, eman zizkion."
944,"Lehoinabarra historian zehar, oso erabilgarria izan da gizakiarentzat."
945,"Ez gara ari toxikotasun akutuaz, kronikoaz baizik."
946,Historian lizentziaduna da Euskal Herriko Unibertsitatean.
947,Asturias zeharkatu eta Galizian bukatzen da.
948,Biltzarrean idazkari nagusi laguntzaile izendatu zuten.
949,Gertuko finantza-historia eta zorra gaietan aditua da.
950,Ingeniaria edo topografo ona izan behar mapa bateko erdigunea aurkitzeko.
951,Manufaktura-industria bigarren mailako jarduera da prefekturako ekonomian.
952,"Kanpoaldetik, itxuraz futbol estadio bat da."
953,Jugoslaviako Liga sisteman hirugarren eta bigarren mailen artean aritu zen.
954,Erantzun militarra handia eta azkarra izan zen.
955,Eskuz edo makinaz bil daitezke.
956,Gaur egun gehienetan hinduismoa jarraitzen duenari esaten zaio.
957,"Haatik, egungo eskubide publikoan egitura batzuk badaude zuen eskakizunei erantzuteko."
958,Alaskako golkoan dagoen erloju-orratzen noranzkoaren aurkako biraren parte bat da.
959,"Guztira hamalau kilometroko luzera du, horietatik zortzi tunelak dira."
960,Unibertsoaren hasieratik gaur arteko historia laburturik jendarteratzeko zientzia-kazetaritza lana da.
961,Arteak eta letrak bultzatu zituen.
962,Bere erreinaldian Leongo Forua aldarrikatu zuen.
963,"Hala ere, emaitzak ez dira argigarriak."
964,Croupierrak nahi zuenean geldiarazten zuen gurpila botoi bat sakatuta.
965,Azken urteetan urtarrilaren hasieran jokatu izan da.
966,Entzima hau oso sentikorra da oxigenoarekiko.
967,Afrika Erdiko Telekomunikazio Elkarteak kudeatzen du.
968,Hondarribiko abade-etxean bizi izan zen harrezkero.
969,Neguan izoztu ere egin daiteke aintzira.
970,Munduan zehar Suediako herritarrak eta suediar jatorria duenak daude.
971,Badago gure herrian lan txukunagoak egiten dituzten langileak.
972,Margolanean neska bat uretan sartzeko momentuan ikusten dugu.
973,Hona hemen trenbidea erabili zuten tren-makinen zerrenda.
974,Biografiak irakurtzeko ez ditugu testuliburu garestiak erosiko.
975,Kopa eta Superkopa irabazi ditu.
976,Geltokiak aduana kontrolaren funtzioa zuen.
977,"Ziurra da, gainera, Karlistaldietan gotorleku bat eraiki zela bertan."
978,Bizitzaren azken urteetan loteria saltzaile aritu zen.
979,Haranaren ekonomia abeltzaintzan du oinarri.
980,Bolsonaroren buru ekonomikoa den Paolo Guedesek disimulurik gabe iragarri du.
981,"Mikrobiologian aldiz, mikroorganismoen ereinketarako erabiltzen da, estaltzeko erraza delako."
982,"Memoria galtzen hasita nago, baina."
983,Ur azpian ere lehor mantentzen den materiala.
984,"Hamabost neba-arrebaren artean zortzigarrena, Donapaleun jaio zen."
985,Bere izena Herbehereen izen latindarragatik jasotzen du.
986,Nekazari askok beren tresnak deuseztatu eta galera handiak eragin zituzten.
987,Niri gehien gustatzen zaidan kirola esku-pilota da eta zen.
988,Zer erre duzu hona etorri aurretik.
989,"Txalo bakoitzaren esanahiaz jabetzen zara, isilune bakoitzak dakarren emozioaz..."
990,"Pertsonaiak egiteari utzi eta bakarrizketak egiten hasi, zeuretik abiatuta."
991,"Baserri gehienak auzoko lurren iparraldean daude, herrigunearen hegoaldean."
992,Gaur egun ematen du eraikuntzak ez zuela gehiegi iraun.
993,Hamarka olerki eta zazpi eliz-kanta eginda utzi zituen.
994,Zuzenbidea eta musika ikasi zituen.
995,"Ez da erraza azaltzen, berben aukeraketarekin daukalako zerikusia."
996,"Matematika gaitasuna eta zientzia, teknologia, osasunerako gaitasuna neurtu dira."
997,Aro baten akabantzaren bezperan gaude.
998,Gartzea Enekoitz erregearen bigarren emaztea zen.
999,"Hotsa, suntsipena eta naturaz gaindiko ekaitzen indarra irudikatzen ditu."
